theta	phi	psi	alpha	beta	CA	CN	CY	Cl	Cn	Cm
29.95658000     -14.83201500    0.00000000      29.12379361     -7.34392165     0.01008626      0.98586642      0.14296898      -0.01490780     -0.00933262     0.07598124     
29.95658000     -14.82721000    0.00000000      29.12433450     -7.34158304     0.01005113      0.98589870      0.14299141      -0.01493201     -0.00933388     0.07599732     
29.95787500     -14.82242000    0.00000000      29.12614621     -7.33954110     0.01001619      0.98592948      0.14301383      -0.01495610     -0.00933515     0.07601328     
29.95787500     -14.81663500    0.00000000      29.12679699     -7.33672532     0.00998144      0.98595869      0.14303631      -0.01498005     -0.00933643     0.07602912     
29.95787500     -14.81087500    0.00000000      29.12744471     -7.33392164     0.00994689      0.98598640      0.14305878      -0.01500386     -0.00933772     0.07604476     
29.95787500     -14.80401500    0.00000000      29.12821579     -7.33058247     0.00991256      0.98601260      0.14308123      -0.01502752     -0.00933902     0.07606027     
29.95787500     -14.79718000    0.00000000      29.12898370     -7.32725539     0.00987843      0.98603741      0.14310373      -0.01505104     -0.00934034     0.07607560     
29.95787500     -14.79033500    0.00000000      29.12975238     -7.32392336     0.00984455      0.98606066      0.14312619      -0.01507440     -0.00934166     0.07609076     
29.95787500     -14.78347500    0.00000000      29.13052238     -7.32058395     0.00981090      0.98608241      0.14314867      -0.01509760     -0.00934300     0.07610576     
29.95787500     -14.77658500    0.00000000      29.13129538     -7.31722985     0.00977746      0.98610277      0.14317114      -0.01512065     -0.00934435     0.07612056     
29.95787500     -14.76978000    0.00000000      29.13205849     -7.31391705     0.00974426      0.98612156      0.14319358      -0.01514353     -0.00934570     0.07613520     
29.95787500     -14.76294000    0.00000000      29.13282517     -7.31058713     0.00971131      0.98613897      0.14321604      -0.01516623     -0.00934707     0.07614961     
29.95787500     -14.75608500    0.00000000      29.13359317     -7.30724983     0.00967863      0.98615494      0.14323847      -0.01518876     -0.00934844     0.07616387     
29.95787500     -14.74925000    0.00000000      29.13435857     -7.30392219     0.00964616      0.98616941      0.14326086      -0.01521112     -0.00934983     0.07617790     
29.95787500     -14.74239500    0.00000000      29.13512585     -7.30058473     0.00961403      0.98618243      0.14328324      -0.01523328     -0.00935122     0.07619171     
29.95787500     -14.73555500    0.00000000      29.13589109     -7.29725449     0.00958212      0.98619407      0.14330559      -0.01525526     -0.00935263     0.07620534     
