theta	phi	psi	alpha	beta	CD	CL	Cy	Cmx	Cmy	Cmz
29.95658000     -14.83201500    0.00000000      29.12379361     -7.34392165     0.50289710      0.85631455      0.07933701      -0.01197366     -0.01540830     0.07187781     
29.95658000     -14.82721000    0.00000000      29.12433450     -7.34158304     0.50288990      0.85635523      0.07938067      -0.01199373     -0.01542126     0.07188689     
29.95787500     -14.82242000    0.00000000      29.12614621     -7.33954110     0.50290137      0.85638368      0.07941935      -0.01201353     -0.01543436     0.07189585     
29.95787500     -14.81663500    0.00000000      29.12679699     -7.33672532     0.50289398      0.85642056      0.07946718      -0.01203316     -0.01544723     0.07190513     
29.95787500     -14.81087500    0.00000000      29.12744471     -7.33392164     0.50288601      0.85645605      0.07951497      -0.01205266     -0.01546005     0.07191425     
29.95787500     -14.80401500    0.00000000      29.12821579     -7.33058247     0.50287857      0.85648907      0.07956728      -0.01207179     -0.01547282     0.07192366     
29.95787500     -14.79718000    0.00000000      29.12898370     -7.32725539     0.50287062      0.85652081      0.07961959      -0.01209078     -0.01548553     0.07193296     
29.95787500     -14.79033500    0.00000000      29.12975238     -7.32392336     0.50286212      0.85655106      0.07967198      -0.01210962     -0.01549818     0.07194215     
29.95787500     -14.78347500    0.00000000      29.13052238     -7.32058395     0.50285310      0.85657987      0.07972451      -0.01212832     -0.01551076     0.07195125     
29.95787500     -14.77658500    0.00000000      29.13129538     -7.31722985     0.50284362      0.85660734      0.07977722      -0.01214686     -0.01552327     0.07196023     
29.95787500     -14.76978000    0.00000000      29.13205849     -7.31391705     0.50283349      0.85663341      0.07982962      -0.01216526     -0.01553570     0.07196909     
29.95787500     -14.76294000    0.00000000      29.13282517     -7.31058713     0.50282293      0.85665813      0.07988225      -0.01218349     -0.01554807     0.07197781     
29.95787500     -14.75608500    0.00000000      29.13359317     -7.30724983     0.50281192      0.85668143      0.07993496      -0.01220155     -0.01556035     0.07198645     
29.95787500     -14.74925000    0.00000000      29.13435857     -7.30392219     0.50280033      0.85670335      0.07998764      -0.01221945     -0.01557256     0.07199493     
29.95787500     -14.74239500    0.00000000      29.13512585     -7.30058473     0.50278835      0.85672382      0.08004042      -0.01223717     -0.01558469     0.07200329     
29.95787500     -14.73555500    0.00000000      29.13589109     -7.29725449     0.50277585      0.85674300      0.08009318      -0.01225472     -0.01559674     0.07201152     
29.95787500     -14.72543500    0.00000000      29.13702263     -7.29232715     0.50276612      0.85675765      0.08015928      -0.01227141     -0.01560875     0.07202068     
29.95787500     -14.71858500    0.00000000      29.13778810     -7.28899185     0.50275275      0.85677407      0.08021212      -0.01228859     -0.01562062     0.07202865     
29.95809000     -14.71174500    0.00000000      29.13876344     -7.28570902     0.50274216      0.85678729      0.08026412      -0.01230557     -0.01563243     0.07203645     
29.95809000     -14.70377500    0.00000000      29.13965320     -7.28182816     0.50272897      0.85679991      0.08032154      -0.01232213     -0.01564413     0.07204448     
29.95809000     -14.69582000    0.00000000      29.14054080     -7.27795450     0.50271540      0.85681117      0.08037888      -0.01233852     -0.01565574     0.07205237     
29.95809000     -14.68689500    0.00000000      29.14153606     -7.27360838     0.50270237      0.85682022      0.08044018      -0.01235450     -0.01566727     0.07206044     
29.95809000     -14.67795000    0.00000000      29.14253293     -7.26925237     0.50268897      0.85682795      0.08050154      -0.01237027     -0.01567869     0.07206833     
29.95809000     -14.66902000    0.00000000      29.14352751     -7.26490354     0.50267510      0.85683429      0.08056283      -0.01238584     -0.01569001     0.07207611     
29.95809000     -14.66006500    0.00000000      29.14452427     -7.26054239     0.50266090      0.85683929      0.08062422      -0.01240120     -0.01570123     0.07208371     
29.95809000     -14.65111500    0.00000000      29.14551986     -7.25618355     0.50264629      0.85684301      0.08068558      -0.01241634     -0.01571234     0.07209115     
29.95809000     -14.64219500    0.00000000      29.14651150     -7.25183918     0.50263134      0.85684540      0.08074675      -0.01243127     -0.01572334     0.07209846     
29.95809000     -14.63325000    0.00000000      29.14750530     -7.24748250     0.50261603      0.85684648      0.08080799      -0.01244598     -0.01573423     0.07210557     
29.95809000     -14.62432500    0.00000000      29.14849628     -7.24313542     0.50260037      0.85684637      0.08086912      -0.01246047     -0.01574500     0.07211255     
29.95809000     -14.61539000    0.00000000      29.14948775     -7.23878334     0.50258442      0.85684491      0.08093024      -0.01247473     -0.01575566     0.07211933     
29.95809000     -14.60644000    0.00000000      29.15048027     -7.23442382     0.50256810      0.85684213      0.08099137      -0.01248876     -0.01576620     0.07212597     
29.95809000     -14.59750000    0.00000000      29.15147107     -7.23006903     0.50255147      0.85683808      0.08105239      -0.01250255     -0.01577661     0.07213246     
29.95809000     -14.58857500    0.00000000      29.15245960     -7.22572142     0.50253455      0.85683282      0.08111332      -0.01251611     -0.01578690     0.07213872     
29.95809000     -14.57963500    0.00000000      29.15344917     -7.22136636     0.50251736      0.85682632      0.08117421      -0.01252943     -0.01579706     0.07214484     
29.95809000     -14.57068500    0.00000000      29.15443924     -7.21700630     0.50249990      0.85681853      0.08123506      -0.01254250     -0.01580710     0.07215084     
29.95786500     -14.56174000    0.00000000      29.15520689     -7.21259914     0.50247878      0.85681141      0.08129666      -0.01255536     -0.01581697     0.07215661     
29.95786500     -14.55143000    0.00000000      29.15634593     -7.20757625     0.50246207      0.85679987      0.08136288      -0.01256765     -0.01582676     0.07216270     
29.95786500     -14.53560000    0.00000000      29.15809323     -7.19986375     0.50245031      0.85678198      0.08145145      -0.01257853     -0.01583652     0.07217051     
29.95786500     -14.52527000    0.00000000      29.15923242     -7.19483067     0.50243314      0.85676807      0.08151754      -0.01259031     -0.01584604     0.07217626     
29.95786500     -14.51493500    0.00000000      29.16037133     -7.18979497     0.50241572      0.85675292      0.08158358      -0.01260183     -0.01585542     0.07218180     
